id,disciplina,assunto,texto,A,B,C,D,E,gabarito,dificuldade,modelos
1,Matematica,Funcoes,"Se f(x) = 3x - 1, entao f(4) e igual a:",11,13,9,7,15,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
2,Matematica,Funcoes,A funcao f(x) = x² - 4x + 4 pode ser reescrita como:,( x-2)²,( x+2)²,(x-2)(x+2),(x-4)²,x²-4,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
3,Matematica,Funcoes,As raizes reais da equacao x² - 5x + 6 = 0 sao:,x=2 e x=3,x=1 e x=6,x=-2 e x=-3,x=2 e x=-3,x=5 e x=-1,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
4,Matematica,Funcoes,O vertice da parabola f(x) = x² - 4x + 3 e o ponto:,"(2, -1)","(2, 3)","(-2, 1)","(4, 3)","(1, 0)",A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
5,Matematica,Funcoes,Se log₂(x) = 5 entao x e igual a:,32,10,25,64,16,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
6,Matematica,Funcoes,A funcao f(x) = 2^x assume o valor 64 quando x e igual a:,6,5,7,8,4,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
7,Matematica,Funcoes,O valor maximo da funcao f(x) = -x² + 6x - 5 e:,4,5,6,3,1,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
8,Matematica,Funcoes,Para qual valor de x a funcao f(x) = 2x - 10 se anula?,5,-5,10,-10,2,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
9,Matematica,Funcoes,O dominio da funcao f(x) = raiz(x + 5) e o conjunto:,x ≥ -5,x > -5,x ≤ 5,x ≥ 5,todos os reais,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
10,Matematica,Funcoes,A soma das raizes da equacao x² - 9x + 14 = 0 e:,9,14,7,2,5,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
11,Matematica,Funcoes,O produto das raizes da equacao x² - 7x + 12 = 0 e:,12,-7,7,-12,3,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
